,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases_per_million,0.31373193345847455,0.9833682049869701,3.3437229116629275,1.5469410167027906,inf
1,new_cases,0.26951457630693854,0.983368204985314,3.351352124263501,1.5347449685185846,inf
2,total_cases,0.005021567890070133,0.9991116606773608,3.4458300164057176,1.4833210816577163,inf
3,total_cases_per_million,0.003152427398363744,0.9991195389693266,3.444189049676446,1.482153672014712,inf
4,total_deaths_per_million,0.0038457873321518623,0.9990608503778625,3.4071279509654393,1.4700115295584846,inf
5,total_deaths,0.004835204051779063,0.9990710861953318,3.4036225005697567,1.4691762636056225,inf
6,stringency_index,0.2880768398471975,0.6790216168775918,1.8897560135744533,0.9522848234330809,3.6939731355282768
7,tests_per_case,0.035306628854836486,0.9004943600220446,1.742521878450396,0.8927742891090924,1.4790257860966205
8,new_people_vaccinated,0.014312183408268186,0.8258349459722099,1.2359894213902622,0.6920455169235801,2.53564472477124
9,new_tests,0.02215535719671329,0.9088072076140564,1.1391008912113203,0.6900211520073634,3.7225964983396977
